Maxsulot,Narx,Bozor nomlari,Sana
Гуруч,14600,Наврўз бозори (ТТЗ),2022-09-21
Манний ёрмаси,11166.6667,Наврўз бозори (ТТЗ),2022-09-21
Арпа,NULL,Наврўз бозори (ТТЗ),2022-09-21
Буғдой,5500,Наврўз бозори (ТТЗ),2022-09-21
Жўхори,NULL,Наврўз бозори (ТТЗ),2022-09-21
Кепак,NULL,Наврўз бозори (ТТЗ),2022-09-21
Шрот,NULL,Наврўз бозори (ТТЗ),2022-09-21
Шулха,NULL,Наврўз бозори (ТТЗ),2022-09-21
Комбикорм,NULL,Наврўз бозори (ТТЗ),2022-09-21
Олий навли буғдой уни,8700,Наврўз бозори (ТТЗ),2022-09-21
Олий навли буғдой уни (маҳаллий),NULL,Наврўз бозори (ТТЗ),2022-09-21
Олий навли буғдой уни (импорт),8700,Наврўз бозори (ТТЗ),2022-09-21
Биринчи навли буғдой уни,8200,Наврўз бозори (ТТЗ),2022-09-21
Биринчи навли буғдой уни (маҳаллий),NULL,Наврўз бозори (ТТЗ),2022-09-21
Биринчи навли буғдой  уни (импорт),8200,Наврўз бозори (ТТЗ),2022-09-21
Биринчи навли ундан қолипли нон (1 дона),4666.7,Наврўз бозори (ТТЗ),2022-09-21
Жавдар нони,21333.3333,Наврўз бозори (ТТЗ),2022-09-21
Макарон,12200,Наврўз бозори (ТТЗ),2022-09-21
Мол гўшти,73882.3529,Наврўз бозори (ТТЗ),2022-09-21
Қўй гўшти,82000,Наврўз бозори (ТТЗ),2022-09-21
Парранда гўшти,33466.6667,Наврўз бозори (ТТЗ),2022-09-21
Қуён гўшти,NULL,Наврўз бозори (ТТЗ),2022-09-21
Балиқ,25500,Наврўз бозори (ТТЗ),2022-09-21
"Сут, 1 литр",7800,Наврўз бозори (ТТЗ),2022-09-21
Сут ва қатиқ махсулотлари,9750,Наврўз бозори (ТТЗ),2022-09-21
Ўсимлик ёғи,21642.8571,Наврўз бозори (ТТЗ),2022-09-21
"Пахта ёғи, 1 литр",20400,Наврўз бозори (ТТЗ),2022-09-21
"Кунгабоқар ёғи, 1 литр",22333.3333,Наврўз бозори (ТТЗ),2022-09-21
Қаймок,44500,Наврўз бозори (ТТЗ),2022-09-21
Пишлоқ,67400,Наврўз бозори (ТТЗ),2022-09-21
Бринза,39857.1429,Наврўз бозори (ТТЗ),2022-09-21
Творог,26000,Наврўз бозори (ТТЗ),2022-09-21
Сметана,24714.2857,Наврўз бозори (ТТЗ),2022-09-21
"Тухум, 10 донаси",11562.5,Наврўз бозори (ТТЗ),2022-09-21
Сариёғ,66333.3333,Наврўз бозори (ТТЗ),2022-09-21
Лимон,22625,Наврўз бозори (ТТЗ),2022-09-21
Олма,6900,Наврўз бозори (ТТЗ),2022-09-21
Нок,16100,Наврўз бозори (ТТЗ),2022-09-21
Узум,12700,Наврўз бозори (ТТЗ),2022-09-21
Тарвуз,2166.6667,Наврўз бозори (ТТЗ),2022-09-21
Қовун,3400,Наврўз бозори (ТТЗ),2022-09-21
Кишмиш,32166.6667,Наврўз бозори (ТТЗ),2022-09-21
Туршак (баргак),39222.2222,Наврўз бозори (ТТЗ),2022-09-21
Карам,2312.5,Наврўз бозори (ТТЗ),2022-09-21
"Кўкатлар (кўк пиёз, укроп, петрушка ва бошқалар, тури кўрсатилсин)",19125,Наврўз бозори (ТТЗ),2022-09-21
Бодринг,5500,Наврўз бозори (ТТЗ),2022-09-21
Помидор,8200,Наврўз бозори (ТТЗ),2022-09-21
Бақлажон,4428.5714,Наврўз бозори (ТТЗ),2022-09-21
Булғор қалампири,7500,Наврўз бозори (ТТЗ),2022-09-21
Қовоқ,4071.4286,Наврўз бозори (ТТЗ),2022-09-21
Хўраки лавлаги,4714.2857,Наврўз бозори (ТТЗ),2022-09-21
Сабзи,3937.5,Наврўз бозори (ТТЗ),2022-09-21
Шолғом,9800,Наврўз бозори (ТТЗ),2022-09-21
Пиёз,3800,Наврўз бозори (ТТЗ),2022-09-21
Турп,NULL,Наврўз бозори (ТТЗ),2022-09-21
Картошка,4050,Наврўз бозори (ТТЗ),2022-09-21
Ловия,14250,Наврўз бозори (ТТЗ),2022-09-21
Нўхат,25333.3333,Наврўз бозори (ТТЗ),2022-09-21
Мош,16071.4286,Наврўз бозори (ТТЗ),2022-09-21
Шакар,13200,Наврўз бозори (ТТЗ),2022-09-21
Болалар маҳсус озуқаси,132500,Наврўз бозори (ТТЗ),2022-09-21
Туз,2785.7143,Наврўз бозори (ТТЗ),2022-09-21
