Maxsulot,Narx,Bozor nomlari,Sana
Тарвуз,2119,Шаҳар бўйича ўртача,2022-09-21
Туз,2897,Шаҳар бўйича ўртача,2022-09-21
Қовун,3032,Шаҳар бўйича ўртача,2022-09-21
Карам,3134,Шаҳар бўйича ўртача,2022-09-21
Сабзи,3438,Шаҳар бўйича ўртача,2022-09-21
Пиёз,3607,Шаҳар бўйича ўртача,2022-09-21
Кепак,3765,Шаҳар бўйича ўртача,2022-09-21
Қовоқ,3894,Шаҳар бўйича ўртача,2022-09-21
Картошка,4141,Шаҳар бўйича ўртача,2022-09-21
Арпа,4562,Шаҳар бўйича ўртача,2022-09-21
Комбикорм,4600,Шаҳар бўйича ўртача,2022-09-21
Бақлажон,4644,Шаҳар бўйича ўртача,2022-09-21
Биринчи навли ундан қолипли нон (1 дона),4666,Шаҳар бўйича ўртача,2022-09-21
Хўраки лавлаги,4727,Шаҳар бўйича ўртача,2022-09-21
Буғдой,5534,Шаҳар бўйича ўртача,2022-09-21
Жўхори,5550,Шаҳар бўйича ўртача,2022-09-21
Биринчи навли буғдой уни (маҳаллий),6764,Шаҳар бўйича ўртача,2022-09-21
Бодринг,7201,Шаҳар бўйича ўртача,2022-09-21
Биринчи навли буғдой уни,7381,Шаҳар бўйича ўртача,2022-09-21
Биринчи навли буғдой  уни (импорт),7561,Шаҳар бўйича ўртача,2022-09-21
Шолғом,7578,Шаҳар бўйича ўртача,2022-09-21
"Сут, 1 литр",7962,Шаҳар бўйича ўртача,2022-09-21
Булғор қалампири,8153,Шаҳар бўйича ўртача,2022-09-21
Сут ва қатиқ махсулотлари,8421,Шаҳар бўйича ўртача,2022-09-21
Олий навли буғдой уни (маҳаллий),8686,Шаҳар бўйича ўртача,2022-09-21
Олий навли буғдой уни,8902,Шаҳар бўйича ўртача,2022-09-21
Олий навли буғдой уни (импорт),9003,Шаҳар бўйича ўртача,2022-09-21
Помидор,9544,Шаҳар бўйича ўртача,2022-09-21
Олма,10550,Шаҳар бўйича ўртача,2022-09-21
"Тухум, 10 донаси",11516,Шаҳар бўйича ўртача,2022-09-21
Манний ёрмаси,12007,Шаҳар бўйича ўртача,2022-09-21
Макарон,12103,Шаҳар бўйича ўртача,2022-09-21
Шакар,13571,Шаҳар бўйича ўртача,2022-09-21
Гуруч,13746,Шаҳар бўйича ўртача,2022-09-21
Узум,13856,Шаҳар бўйича ўртача,2022-09-21
Мош,15707,Шаҳар бўйича ўртача,2022-09-21
Ловия,16171,Шаҳар бўйича ўртача,2022-09-21
"Кўкатлар (кўк пиёз, укроп, петрушка ва бошқалар, тури кўрсатилсин)",17371,Шаҳар бўйича ўртача,2022-09-21
Нок,18060,Шаҳар бўйича ўртача,2022-09-21
Жавдар нони,20321,Шаҳар бўйича ўртача,2022-09-21
"Пахта ёғи, 1 литр",20363,Шаҳар бўйича ўртача,2022-09-21
Нўхат,21223,Шаҳар бўйича ўртача,2022-09-21
Ўсимлик ёғи,21910,Шаҳар бўйича ўртача,2022-09-21
"Кунгабоқар ёғи, 1 литр",22568,Шаҳар бўйича ўртача,2022-09-21
Творог,23574,Шаҳар бўйича ўртача,2022-09-21
Сметана,27363,Шаҳар бўйича ўртача,2022-09-21
Лимон,27453,Шаҳар бўйича ўртача,2022-09-21
Балиқ,31415,Шаҳар бўйича ўртача,2022-09-21
Парранда гўшти,32468,Шаҳар бўйича ўртача,2022-09-21
Бринза,37637,Шаҳар бўйича ўртача,2022-09-21
Қаймок,45054,Шаҳар бўйича ўртача,2022-09-21
Туршак (баргак),46276,Шаҳар бўйича ўртача,2022-09-21
Кишмиш,49550,Шаҳар бўйича ўртача,2022-09-21
Пишлоқ,67283,Шаҳар бўйича ўртача,2022-09-21
Мол гўшти,71649,Шаҳар бўйича ўртача,2022-09-21
Сариёғ,72642,Шаҳар бўйича ўртача,2022-09-21
Қуён гўшти,73520,Шаҳар бўйича ўртача,2022-09-21
Қўй гўшти,73884,Шаҳар бўйича ўртача,2022-09-21
Болалар маҳсус озуқаси,157758,Шаҳар бўйича ўртача,2022-09-21
