Maxsulot,Narx,Bozor nomlari,Sana
Гуруч,13900,Эски-Жўва бозори,2022-09-21
Манний ёрмаси,9700,Эски-Жўва бозори,2022-09-21
Арпа,NULL,Эски-Жўва бозори,2022-09-21
Буғдой,5490,Эски-Жўва бозори,2022-09-21
Жўхори,5400,Эски-Жўва бозори,2022-09-21
Кепак,NULL,Эски-Жўва бозори,2022-09-21
Шрот,NULL,Эски-Жўва бозори,2022-09-21
Шулха,NULL,Эски-Жўва бозори,2022-09-21
Комбикорм,NULL,Эски-Жўва бозори,2022-09-21
Олий навли буғдой уни,8690,Эски-Жўва бозори,2022-09-21
Олий навли буғдой уни (маҳаллий),8460,Эски-Жўва бозори,2022-09-21
Олий навли буғдой уни (импорт),8920,Эски-Жўва бозори,2022-09-21
Биринчи навли буғдой уни,7680,Эски-Жўва бозори,2022-09-21
Биринчи навли буғдой уни (маҳаллий),NULL,Эски-Жўва бозори,2022-09-21
Биринчи навли буғдой  уни (импорт),7680,Эски-Жўва бозори,2022-09-21
Биринчи навли ундан қолипли нон (1 дона),4666.67,Эски-Жўва бозори,2022-09-21
Жавдар нони,19520,Эски-Жўва бозори,2022-09-21
Макарон,10600,Эски-Жўва бозори,2022-09-21
Мол гўшти,70300,Эски-Жўва бозори,2022-09-21
Қўй гўшти,71400,Эски-Жўва бозори,2022-09-21
Парранда гўшти,29010,Эски-Жўва бозори,2022-09-21
Қуён гўшти,NULL,Эски-Жўва бозори,2022-09-21
Балиқ,NULL,Эски-Жўва бозори,2022-09-21
"Сут, 1 литр",6150,Эски-Жўва бозори,2022-09-21
Сут ва қатиқ махсулотлари,6025,Эски-Жўва бозори,2022-09-21
Ўсимлик ёғи,20416.6667,Эски-Жўва бозори,2022-09-21
"Пахта ёғи, 1 литр",20000,Эски-Жўва бозори,2022-09-21
"Кунгабоқар ёғи, 1 литр",20750,Эски-Жўва бозори,2022-09-21
Қаймок,42000,Эски-Жўва бозори,2022-09-21
Пишлоқ,67150,Эски-Жўва бозори,2022-09-21
Бринза,33300,Эски-Жўва бозори,2022-09-21
Творог,22500,Эски-Жўва бозори,2022-09-21
Сметана,40400,Эски-Жўва бозори,2022-09-21
"Тухум, 10 донаси",11444.4444,Эски-Жўва бозори,2022-09-21
Сариёғ,72000,Эски-Жўва бозори,2022-09-21
Лимон,27200,Эски-Жўва бозори,2022-09-21
Олма,12100,Эски-Жўва бозори,2022-09-21
Нок,18050,Эски-Жўва бозори,2022-09-21
Узум,12350,Эски-Жўва бозори,2022-09-21
Тарвуз,1930,Эски-Жўва бозори,2022-09-21
Қовун,2250,Эски-Жўва бозори,2022-09-21
Кишмиш,53700,Эски-Жўва бозори,2022-09-21
Туршак (баргак),47800,Эски-Жўва бозори,2022-09-21
Карам,2090,Эски-Жўва бозори,2022-09-21
"Кўкатлар (кўк пиёз, укроп, петрушка ва бошқалар, тури кўрсатилсин)",13900,Эски-Жўва бозори,2022-09-21
Бодринг,7450,Эски-Жўва бозори,2022-09-21
Помидор,8500,Эски-Жўва бозори,2022-09-21
Бақлажон,3850,Эски-Жўва бозори,2022-09-21
Булғор қалампири,10800,Эски-Жўва бозори,2022-09-21
Қовоқ,2350,Эски-Жўва бозори,2022-09-21
Хўраки лавлаги,5000,Эски-Жўва бозори,2022-09-21
Сабзи,3050,Эски-Жўва бозори,2022-09-21
Шолғом,7900,Эски-Жўва бозори,2022-09-21
Пиёз,2800,Эски-Жўва бозори,2022-09-21
Турп,NULL,Эски-Жўва бозори,2022-09-21
Картошка,4100,Эски-Жўва бозори,2022-09-21
Ловия,15550,Эски-Жўва бозори,2022-09-21
Нўхат,21200,Эски-Жўва бозори,2022-09-21
Мош,15500,Эски-Жўва бозори,2022-09-21
Шакар,13700,Эски-Жўва бозори,2022-09-21
Болалар маҳсус озуқаси,160993.4,Эски-Жўва бозори,2022-09-21
Туз,2790,Эски-Жўва бозори,2022-09-21
