,Maxsulot,Narx,Bozor nomlari,Sana
0,Гуруч,13746.9907,Шаҳар бўйича ўртача,2022-09-21
1,Манний ёрмаси,12007.8505,Шаҳар бўйича ўртача,2022-09-21
2,Арпа,4562.5,Шаҳар бўйича ўртача,2022-09-21
3,Буғдой,5534.6667,Шаҳар бўйича ўртача,2022-09-21
4,Жўхори,5550,Шаҳар бўйича ўртача,2022-09-21
5,Кепак,3765,Шаҳар бўйича ўртача,2022-09-21
6,Шрот,NULL,Шаҳар бўйича ўртача,2022-09-21
7,Шулха,NULL,Шаҳар бўйича ўртача,2022-09-21
8,Комбикорм,4600,Шаҳар бўйича ўртача,2022-09-21
9,Олий навли буғдой уни,8902.54,Шаҳар бўйича ўртача,2022-09-21
10,Олий навли буғдой уни (маҳаллий),8686.8899,Шаҳар бўйича ўртача,2022-09-21
11,Олий навли буғдой уни (импорт),9003.1085,Шаҳар бўйича ўртача,2022-09-21
12,Биринчи навли буғдой уни,7381.1788,Шаҳар бўйича ўртача,2022-09-21
13,Биринчи навли буғдой уни (маҳаллий),6764.0212,Шаҳар бўйича ўртача,2022-09-21
14,Биринчи навли буғдой  уни (импорт),7561.8948,Шаҳар бўйича ўртача,2022-09-21
15,Биринчи навли ундан қолипли нон (1 дона),4666.6471,Шаҳар бўйича ўртача,2022-09-21
16,Жавдар нони,20321.703,Шаҳар бўйича ўртача,2022-09-21
17,Макарон,12103.4557,Шаҳар бўйича ўртача,2022-09-21
18,Мол гўшти,71649.3248,Шаҳар бўйича ўртача,2022-09-21
19,Қўй гўшти,73884.7222,Шаҳар бўйича ўртача,2022-09-21
20,Парранда гўшти,32468.7108,Шаҳар бўйича ўртача,2022-09-21
21,Қуён гўшти,73520.8334,Шаҳар бўйича ўртача,2022-09-21
22,Балиқ,31415.7143,Шаҳар бўйича ўртача,2022-09-21
23,"Сут, 1 литр",7962.5,Шаҳар бўйича ўртача,2022-09-21
24,Сут ва қатиқ махсулотлари,8421.2808,Шаҳар бўйича ўртача,2022-09-21
25,Ўсимлик ёғи,21910.7068,Шаҳар бўйича ўртача,2022-09-21
26,"Пахта ёғи, 1 литр",20363.5355,Шаҳар бўйича ўртача,2022-09-21
27,"Кунгабоқар ёғи, 1 литр",22568.4997,Шаҳар бўйича ўртача,2022-09-21
28,Қаймок,45054.0675,Шаҳар бўйича ўртача,2022-09-21
29,Пишлоқ,67283.1019,Шаҳар бўйича ўртача,2022-09-21
30,Бринза,37637.5,Шаҳар бўйича ўртача,2022-09-21
31,Творог,23574.8016,Шаҳар бўйича ўртача,2022-09-21
32,Сметана,27363.0952,Шаҳар бўйича ўртача,2022-09-21
33,"Тухум, 10 донаси",11516.8485,Шаҳар бўйича ўртача,2022-09-21
34,Сариёғ,72642.9349,Шаҳар бўйича ўртача,2022-09-21
35,Лимон,27453.4722,Шаҳар бўйича ўртача,2022-09-21
36,Олма,10550.463,Шаҳар бўйича ўртача,2022-09-21
37,Нок,18060.549,Шаҳар бўйича ўртача,2022-09-21
38,Узум,13856.5476,Шаҳар бўйича ўртача,2022-09-21
39,Тарвуз,2119.6759,Шаҳар бўйича ўртача,2022-09-21
40,Қовун,3032.7381,Шаҳар бўйича ўртача,2022-09-21
41,Кишмиш,49550.3968,Шаҳар бўйича ўртача,2022-09-21
42,Туршак (баргак),46276.422,Шаҳар бўйича ўртача,2022-09-21
43,Карам,3134.5833,Шаҳар бўйича ўртача,2022-09-21
44,"Кўкатлар (кўк пиёз, укроп, петрушка ва бошқалар, тури кўрсатилсин)",17371.0648,Шаҳар бўйича ўртача,2022-09-21
45,Бодринг,7201.9676,Шаҳар бўйича ўртача,2022-09-21
46,Помидор,9544.213,Шаҳар бўйича ўртача,2022-09-21
47,Бақлажон,4644.0807,Шаҳар бўйича ўртача,2022-09-21
48,Булғор қалампири,8153.125,Шаҳар бўйича ўртача,2022-09-21
49,Қовоқ,3894.494,Шаҳар бўйича ўртача,2022-09-21
50,Хўраки лавлаги,4727.834,Шаҳар бўйича ўртача,2022-09-21
51,Сабзи,3438.6574,Шаҳар бўйича ўртача,2022-09-21
52,Шолғом,7578.5714,Шаҳар бўйича ўртача,2022-09-21
